Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestOrderNurse,Chrome 98.0.4758.82,,,2022-02-04 18:15:11,2022-02-04 18:15:36,24.454s,FAILED
,,,,,,,
Test Cases/Flow_OrderNurse,Chrome 98.0.4758.82,,,2022-02-04 18:15:12,2022-02-04 18:15:36,23.939s,FAILED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-04 18:15:13,2022-02-04 18:15:17,4.312s,PASSED
"navigateToUrl(""http://43.229.79.185/hmdev/#/login"")",Chrome 98.0.4758.82,,,2022-02-04 18:15:17,2022-02-04 18:15:25,8.283s,PASSED
"setText(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_username""), ""00023"")",Chrome 98.0.4758.82,,,2022-02-04 18:15:25,2022-02-04 18:15:27,1.701s,PASSED
"click(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/div_Login""))",Chrome 98.0.4758.82,,,2022-02-04 18:15:27,2022-02-04 18:15:27,0.237s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_password""), ""1lNO57yZFUU="")",Chrome 98.0.4758.82,,,2022-02-04 18:15:27,2022-02-04 18:15:27,0.312s,PASSED
"sendKeys(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_password""), Keys.chord(ENTER))",Chrome 98.0.4758.82,,,2022-02-04 18:15:27,2022-02-04 18:15:28,0.209s,PASSED
"click(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/span_IPD""))",Chrome 98.0.4758.82,,,2022-02-04 18:15:28,2022-02-04 18:15:36,8.086s,FAILED
