Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestOrderNurse,Chrome 98.0.4758.82,,,2022-02-04 15:04:41,2022-02-04 15:05:00,19.047s,PASSED
,,,,,,,
Test Cases/Flow_OrderNurse,Chrome 98.0.4758.82,,,2022-02-04 15:04:41,2022-02-04 15:05:00,18.659s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-04 15:04:41,2022-02-04 15:04:46,4.380s,PASSED
"navigateToUrl(""http://43.229.79.185/hmdev/#/login"")",Chrome 98.0.4758.82,,,2022-02-04 15:04:46,2022-02-04 15:04:52,6.265s,PASSED
"setText(findTestObject(""Order_Med/Page_HM Web/input_Welcome to HM Systems_username""), ""00023"")",Chrome 98.0.4758.82,,,2022-02-04 15:04:52,2022-02-04 15:04:53,1.135s,PASSED
"setEncryptedText(findTestObject(""Order_Med/Page_HM Web/input_Welcome to HM Systems_password""), ""1lNO57yZFUU="")",Chrome 98.0.4758.82,,,2022-02-04 15:04:53,2022-02-04 15:04:54,0.478s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Login""))",Chrome 98.0.4758.82,,,2022-02-04 15:04:54,2022-02-04 15:04:54,0.408s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/span_IPD""))",Chrome 98.0.4758.82,,,2022-02-04 15:04:54,2022-02-04 15:04:59,4.504s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/label_06 MS33""))",Chrome 98.0.4758.82,,,2022-02-04 15:04:59,2022-02-04 15:05:00,0.952s,PASSED
