Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestOrderNurse,Chrome 98.0.4758.82,,,2022-02-04 15:34:43,2022-02-04 15:35:00,17.171s,FAILED
,,,,,,,
Test Cases/Flow_OrderNurse,Chrome 98.0.4758.82,,,2022-02-04 15:34:43,2022-02-04 15:35:00,16.752s,FAILED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-04 15:34:44,2022-02-04 15:34:50,6.024s,PASSED
"navigateToUrl(""http://43.229.79.185/hmdev/#/login"")",Chrome 98.0.4758.82,,,2022-02-04 15:34:50,2022-02-04 15:34:53,3.265s,PASSED
"setText(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_username""), ""00023"")",Chrome 98.0.4758.82,,,2022-02-04 15:34:53,2022-02-04 15:34:55,1.369s,PASSED
"click(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/div_Login""))",Chrome 98.0.4758.82,,,2022-02-04 15:34:55,2022-02-04 15:34:55,0.436s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_password""), ""1lNO57yZFUU="")",Chrome 98.0.4758.82,,,2022-02-04 15:34:55,2022-02-04 15:34:55,0.465s,PASSED
"sendKeys(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_password""), Keys.chord(ENTER))",Chrome 98.0.4758.82,,,2022-02-04 15:34:55,2022-02-04 15:34:56,0.386s,PASSED
"click(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/span_IPD""))",Chrome 98.0.4758.82,,,2022-02-04 15:34:56,2022-02-04 15:35:00,4.251s,FAILED
