Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestOrderDoc,Chrome 98.0.4758.82,,,2022-02-04 18:24:01,2022-02-04 18:28:38,4m - 37.346s,FAILED
,,,,,,,
Test Cases/TC_Object_OrderDoc/Obj_OrderMed,Chrome 98.0.4758.82,,,2022-02-04 18:24:02,2022-02-04 18:28:16,4m - 14.102s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-04 18:24:08,2022-02-04 18:24:26,18.286s,PASSED
"navigateToUrl(""http://43.229.79.185/hmdev/#/login"")",Chrome 98.0.4758.82,,,2022-02-04 18:24:26,2022-02-04 18:24:32,5.914s,PASSED
"setText(findTestObject(""Order_Med/Page_HM Web/input_Welcome to HM Systems_username""), ""00020"")",Chrome 98.0.4758.82,,,2022-02-04 18:24:32,2022-02-04 18:24:34,1.959s,PASSED
"setEncryptedText(findTestObject(""Order_Med/Page_HM Web/input_Welcome to HM Systems_password""), ""1lNO57yZFUU="")",Chrome 98.0.4758.82,,,2022-02-04 18:24:34,2022-02-04 18:24:35,0.602s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Login""))",Chrome 98.0.4758.82,,,2022-02-04 18:24:35,2022-02-04 18:24:35,0.550s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/span_IPD""))",Chrome 98.0.4758.82,,,2022-02-04 18:24:35,2022-02-04 18:24:39,3.545s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/label_06 MS33""))",Chrome 98.0.4758.82,,,2022-02-04 18:24:39,2022-02-04 18:24:42,2.715s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/div_29 xxxxHN 0019295 26012022 1720""))",Chrome 98.0.4758.82,,,2022-02-04 18:24:42,2022-02-04 18:24:44,2.314s,PASSED
"for ([row = 1, row <= 1, (row++)])",Chrome 98.0.4758.82,,,2022-02-04 18:24:44,2022-02-04 18:24:53,8.756s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/th_Order for one day""))",Chrome 98.0.4758.82,,,2022-02-04 18:24:53,2022-02-04 18:24:58,5.613s,PASSED
"for ([rowmed = 1, rowmed <= 5, (rowmed++)])",Chrome 98.0.4758.82,,,2022-02-04 18:24:58,2022-02-04 18:25:47,48.428s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Submit""))",Chrome 98.0.4758.82,,,2022-02-04 18:25:47,2022-02-04 18:25:48,0.941s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Order""))",Chrome 98.0.4758.82,,,2022-02-04 18:25:48,2022-02-04 18:25:48,0.001s,NOT_RUN
"click(findTestObject(""Order_Med/Page_HM Web/th_Order for one day""))",Chrome 98.0.4758.82,,,2022-02-04 18:25:48,2022-02-04 18:25:49,1.002s,PASSED
"for ([rowmedcon = 6, rowmedcon <= 10, (rowmedcon++)])",Chrome 98.0.4758.82,,,2022-02-04 18:25:49,2022-02-04 18:26:34,45.424s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Submit""))",Chrome 98.0.4758.82,,,2022-02-04 18:26:34,2022-02-04 18:26:35,0.629s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Order""))",Chrome 98.0.4758.82,,,2022-02-04 18:26:35,2022-02-04 18:26:35,0.001s,NOT_RUN
"click(findTestObject(""Order_Med/Page_HM Web/button_Order""))",Chrome 98.0.4758.82,,,2022-02-04 18:26:35,2022-02-04 18:26:35,0.000s,NOT_RUN
"click(findTestObject(""Object/Page_HM Web/th_Order for continue""))",Chrome 98.0.4758.82,,,2022-02-04 18:26:35,2022-02-04 18:26:36,1.043s,PASSED
"for ([row = 6, row <= 10, (row++)])",Chrome 98.0.4758.82,,,2022-02-04 18:26:36,2022-02-04 18:27:26,49.928s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Submit""))",Chrome 98.0.4758.82,,,2022-02-04 18:27:26,2022-02-04 18:27:27,0.935s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Order""))",Chrome 98.0.4758.82,,,2022-02-04 18:27:27,2022-02-04 18:27:27,0.001s,NOT_RUN
"click(findTestObject(""Object/Page_HM Web/th_Order for continue""))",Chrome 98.0.4758.82,,,2022-02-04 18:27:27,2022-02-04 18:27:28,1.092s,PASSED
"for ([row = 1, row <= 5, (row++)])",Chrome 98.0.4758.82,,,2022-02-04 18:27:28,2022-02-04 18:28:14,46.323s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Submit""))",Chrome 98.0.4758.82,,,2022-02-04 18:28:14,2022-02-04 18:28:15,0.618s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Order""))",Chrome 98.0.4758.82,,,2022-02-04 18:28:15,2022-02-04 18:28:16,1.080s,PASSED
,,,,,,,
Test Cases/Flow_OrderNurse,Chrome 98.0.4758.82,,,2022-02-04 18:28:16,2022-02-04 18:28:38,22.480s,FAILED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-04 18:28:16,2022-02-04 18:28:28,12.135s,PASSED
"navigateToUrl(""http://43.229.79.185/hmdev/#/login"")",Chrome 98.0.4758.82,,,2022-02-04 18:28:28,2022-02-04 18:28:32,3.960s,PASSED
"setText(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_username""), ""00023"")",Chrome 98.0.4758.82,,,2022-02-04 18:28:32,2022-02-04 18:28:34,1.144s,PASSED
"click(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/div_Login""))",Chrome 98.0.4758.82,,,2022-02-04 18:28:34,2022-02-04 18:28:34,0.413s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_password""), ""1lNO57yZFUU="")",Chrome 98.0.4758.82,,,2022-02-04 18:28:34,2022-02-04 18:28:34,0.471s,PASSED
"sendKeys(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/input_Welcome to HM Systems_password""), Keys.chord(ENTER))",Chrome 98.0.4758.82,,,2022-02-04 18:28:34,2022-02-04 18:28:35,0.397s,PASSED
"click(findTestObject(""Object Repository/Obj_Nurse/Page_HM Web/span_IPD""))",Chrome 98.0.4758.82,,,2022-02-04 18:28:35,2022-02-04 18:28:38,3.421s,FAILED
